Titulo;Descripcion;Categoria;latitud;longitud;fecha del hecho;provincia;hora
93;Colision vehiculo-persona;Accidente automovilistico;-39;-70;24/4/2017;Buenos Aires;23
94;Colision vehiculo-persona;Accidente automovilistico;-39;-70;24/4/2017;Buenos Aires;23
95;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;18/5/2017;Buenos Aires;23
96;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;18/5/2017;Buenos Aires;23
97;Colision vehiculo-persona;Accidente automovilistico;-39;-68;20/5/2017;Buenos Aires;23
98;Colision vehiculo-persona;Accidente automovilistico;-39;-68;20/5/2017;Buenos Aires;23
99;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;14/6/2017;Buenos Aires;23
100;Colision vehiculo-vehiculo;Accidente automovilistico;-39;-68;14/6/2017;Buenos Aires;23
101;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;18/4/2017;Buenos Aires;23
102;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;18/4/2017;Buenos Aires;23
103;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;21/6/2017;Buenos Aires;23
104;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;21/6/2017;Buenos Aires;23
105;Colision vehiculo-vehiculo;Accidente automovilistico;-43;-65;21/6/2017;Buenos Aires;23
106;Colision vehiculo-persona;Accidente automovilistico;-25;-65;9/3/2017;Buenos Aires;23
107;Colision vehiculo-persona;Accidente automovilistico;-25;-65;9/3/2017;Buenos Aires;23
108;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;11/3/2017;Buenos Aires;23
109;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;11/3/2017;Buenos Aires;23
110;Otro;Accidente automovilistico;-25;-66;11/3/2017;Buenos Aires;23
111;Otro;Accidente automovilistico;-25;-66;11/3/2017;Buenos Aires;23
112;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;15/3/2017;Buenos Aires;23
113;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;15/3/2017;Buenos Aires;23
114;Colision vehiculo-objeto;Accidente automovilistico;-25;-64;24/3/2017;Buenos Aires;23
115;Colision vehiculo-objeto;Accidente automovilistico;-25;-64;24/3/2017;Buenos Aires;23
116;Colision vehiculo-objeto;Accidente automovilistico;-32;-69;26/7/2017;Buenos Aires;23
117;Colision vehiculo-objeto;Accidente automovilistico;-32;-69;26/7/2017;Buenos Aires;23
118;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;22/3/2017;Buenos Aires;23
119;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;22/3/2017;Buenos Aires;23
120;Colision vehiculo-persona;Accidente automovilistico;-22;-64;6/3/2017;Buenos Aires;23
121;Colision vehiculo-persona;Accidente automovilistico;-22;-64;6/3/2017;Buenos Aires;23
122;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;8/4/2017;Buenos Aires;23
123;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;8/4/2017;Buenos Aires;23
124;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;10/4/2017;Buenos Aires;23
125;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;10/4/2017;Buenos Aires;23
126;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;12/4/2017;Buenos Aires;23
127;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;12/4/2017;Buenos Aires;23
128;Otro;Accidente automovilistico;-22;-64;13/4/2017;Buenos Aires;23
129;Otro;Accidente automovilistico;-22;-64;13/4/2017;Buenos Aires;23
130;Colision vehiculo-persona;Accidente automovilistico;-23;-64;28/4/2017;Buenos Aires;23
131;Colision vehiculo-persona;Accidente automovilistico;-23;-64;28/4/2017;Buenos Aires;23
132;Vuelco-Despistes;Accidente automovilistico;-24;-63;28/4/2017;Buenos Aires;23
133;Vuelco-Despistes;Accidente automovilistico;-24;-63;28/4/2017;Buenos Aires;23
134;Vuelco-Despistes;Accidente automovilistico;-24;-63;28/4/2017;Buenos Aires;23
135;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;29/4/2017;Buenos Aires;23
136;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;29/4/2017;Buenos Aires;23
137;Colision vehiculo-objeto;Accidente automovilistico;-25;-66;30/4/2017;Buenos Aires;23
138;Colision vehiculo-objeto;Accidente automovilistico;-25;-66;30/4/2017;Buenos Aires;23
139;Vuelco-Despistes;Accidente automovilistico;-26;-66;30/4/2017;Buenos Aires;23
140;Vuelco-Despistes;Accidente automovilistico;-26;-66;30/4/2017;Buenos Aires;23
141;Colision vehiculo-persona;Accidente automovilistico;-23;-64;25/4/2017;Buenos Aires;23
142;Colision vehiculo-persona;Accidente automovilistico;-23;-64;25/4/2017;Buenos Aires;23
143;Vuelco-Despistes;Accidente automovilistico;-25;-65;29/4/2017;Buenos Aires;23
144;Vuelco-Despistes;Accidente automovilistico;-25;-65;29/4/2017;Buenos Aires;23
145;Vuelco-Despistes;Accidente automovilistico;-25;-65;1/5/2017;Buenos Aires;23
146;Vuelco-Despistes;Accidente automovilistico;-25;-65;1/5/2017;Buenos Aires;23
147;Otro;Accidente automovilistico;-24;-64;5/5/2017;Buenos Aires;23
148;Otro;Accidente automovilistico;-24;-64;5/5/2017;Buenos Aires;23
149;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;15/5/2017;Buenos Aires;23
150;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;15/5/2017;Buenos Aires;23
151;Colision vehiculo-vehiculo;Accidente automovilistico;-22;-64;28/5/2017;Buenos Aires;23
152;Colision vehiculo-vehiculo;Accidente automovilistico;-22;-64;28/5/2017;Buenos Aires;23
153;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;28/5/2017;Buenos Aires;23
154;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;28/5/2017;Buenos Aires;23
155;Colision vehiculo-vehiculo;Accidente automovilistico;-32;-68;3/7/2017;Buenos Aires;23
156;Colision vehiculo-vehiculo;Accidente automovilistico;-32;-68;3/7/2017;Buenos Aires;23
157;Colision vehiculo-objeto;Accidente automovilistico;-54;-68;3/2/2017;Buenos Aires;23
158;Colision vehiculo-objeto;Accidente automovilistico;-54;-68;3/2/2017;Buenos Aires;23
159;Vuelco-Despistes;Accidente automovilistico;-46;-68;8/7/2017;Buenos Aires;23
160;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;5/7/2017;Buenos Aires;23
161;Colision vehiculo-vehiculo;Accidente automovilistico;-46;-68;5/7/2017;Buenos Aires;23
162;Vuelco-Despistes;Accidente automovilistico;-46;-68;29/1/2017;Buenos Aires;23
163;Vuelco-Despistes;Accidente automovilistico;-46;-68;29/1/2017;Buenos Aires;23
164;Vuelco-Despistes;Accidente automovilistico;-45;-69;19/1/2017;Buenos Aires;23
165;Vuelco-Despistes;Accidente automovilistico;-45;-69;19/1/2017;Buenos Aires;23
166;Colision vehiculo-persona;Accidente automovilistico;-25;-65;3/6/2017;Buenos Aires;23
167;Colision vehiculo-persona;Accidente automovilistico;-25;-65;3/6/2017;Buenos Aires;23
168;Otro;Accidente automovilistico;-25;-65;7/6/2017;Buenos Aires;23
169;Otro;Accidente automovilistico;-25;-65;7/6/2017;Buenos Aires;23
170;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;10/6/2017;Buenos Aires;23
171;Colision vehiculo-vehiculo;Accidente automovilistico;-26;-65;10/6/2017;Buenos Aires;23
172;Otro;Accidente automovilistico;-23;-64;17/6/2017;Buenos Aires;23
173;Otro;Accidente automovilistico;-23;-64;17/6/2017;Buenos Aires;23
174;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;17/6/2017;Buenos Aires;23
175;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;17/6/2017;Buenos Aires;23
176;Colision vehiculo-vehiculo;Accidente automovilistico;-23;-64;17/6/2017;Buenos Aires;23
177;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;18/6/2017;Buenos Aires;23
178;Colision vehiculo-vehiculo;Accidente automovilistico;-25;-65;18/6/2017;Buenos Aires;23
179;Colision vehiculo-persona;Accidente automovilistico;-25;-65;19/6/2017;Buenos Aires;23
