Titulo;Descripcion;Categoria;latitud;longitud;fecha_hecho
13151;COMBATE DE SAN LORENZO;Colisión vehículo-vehículo;-39;-68;18/5/2017
13151;COMBATE DE SAN LORENZO;Colisión vehículo-vehículo;-39;-68;18/5/2017
13152;RUTA NACIONAL 22;Colisión vehículo-persona;-39;-68;20/5/2017
13152;RUTA NACIONAL 22;Colisión vehículo-persona;-39;-68;20/5/2017
13153;RUTA NACIONAL 22;Colisión vehículo-vehículo;-39;-68;14/6/2017
13153;RUTA NACIONAL 22;Colisión vehículo-vehículo;-39;-68;14/6/2017
13155;RUTA NACIONAL 234;Vuelco-Despistes;;;23/6/2017
13156;ACC BOCA TOMA NORTE SECTOR CHACRA;Vuelco-Despistes;;;26/6/2017
13157;RUTA NAC. NRO. 25;Colisión vehículo-vehículo;;;7/4/2017
13157;RUTA NAC. NRO. 25;Colisión vehículo-vehículo;;;7/4/2017
13157;RUTA NAC. NRO. 25;Colisión vehículo-vehículo;;;7/4/2017
13159;MANUEL QUINTANA;Colisión vehículo-vehículo;-43;-65;18/4/2017
13159;MANUEL QUINTANA;Colisión vehículo-vehículo;-43;-65;18/4/2017
13160;RUTA NAC. NRO. 3;Colisión vehículo-vehículo;-43;-65;21/6/2017
13160;RUTA NAC. NRO. 3;Colisión vehículo-vehículo;-43;-65;21/6/2017
13160;RUTA NAC. NRO. 3;Colisión vehículo-vehículo;-43;-65;21/6/2017
13161;circumbalacion oeste;Vuelco-Despistes;-32;-61;
13161;circumbalacion oeste;Vuelco-Despistes;-32;-61;
13162;Av. Juan de Garay;Colisión vehículo-vehículo;-32;-61;
13162;Av. Juan de Garay;Colisión vehículo-vehículo;-32;-61;
13163;Blas Parera;Colisión vehículo-vehículo;-32;-61;
13163;Blas Parera;Colisión vehículo-vehículo;-32;-61;
13164;RUTA 90;Colisión vehículo-vehículo;-33;-60;
13164;RUTA 90;Colisión vehículo-vehículo;-33;-60;
13164;RUTA 90;Colisión vehículo-vehículo;-33;-60;
13165;RUTA PROVINCIAL 31S;Colisión vehículo-vehículo;;;
13165;RUTA PROVINCIAL 31S;Colisión vehículo-vehículo;;;
13166;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13166;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13166;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13166;RUTA NACIONAL 11;Colisión vehículo-vehículo;-29;-60;
13167;AUTOPISTA NACIONAL Nª9 ROSARIO CORDOBA;Colisión vehículo-vehículo;;;
13167;AUTOPISTA NACIONAL Nª9 ROSARIO CORDOBA;Colisión vehículo-vehículo;;;
13168;Ruta Pcial N° 70;Colisión vehículo-vehículo;;;
13168;Ruta Pcial N° 70;Colisión vehículo-vehículo;;;
13169;SAN MARTIN;Colisión vehículo-vehículo;-33;-61;
13169;SAN MARTIN;Colisión vehículo-vehículo;-33;-61;
13170;AUTOPISTA;Colisión vehículo-vehículo;;;
13170;AUTOPISTA;Colisión vehículo-vehículo;;;
13171;MORENO;Colisión vehículo-vehículo;-29;-60;
13171;MORENO;Colisión vehículo-vehículo;-29;-60;
13172;Autopista Rosario-Cordoba;Colisión vehículo-vehículo;-33;-61;
13172;Autopista Rosario-Cordoba;Colisión vehículo-vehículo;-33;-61;
13173;Av. Uriburu;Colisión vehículo-vehículo;-33;-61;
13173;Av. Uriburu;Colisión vehículo-vehículo;-33;-61;
13174;Avenida Provincia Unidas;Colisión vehículo-vehículo;-33;-61;
13174;Avenida Provincia Unidas;Colisión vehículo-vehículo;-33;-61;
13175;Santa Fe;Colisión vehículo-vehículo;-33;-61;
13175;Santa Fe;Colisión vehículo-vehículo;-33;-61;
13176;Ruta Nac. 34;Colisión vehículo-vehículo;-31;-62;
13176;Ruta Nac. 34;Colisión vehículo-vehículo;-31;-62;
13177;Brasil;Colisión vehículo-vehículo;-31;-61;
13177;Brasil;Colisión vehículo-vehículo;-31;-61;
13178;RUTA NAC Nº 34;Vuelco-Despistes;;;
13178;RUTA NAC Nº 34;Vuelco-Despistes;;;
13179;RUTA PCIAL Nº 2;Colisión vehículo-persona;;;
13179;RUTA PCIAL Nº 2;Colisión vehículo-persona;;;
13180;AVDA MITRE;Vuelco-Despistes;-30;-62;
13181;Ruta Pcial Nº: 13;Vuelco-Despistes;;;
13181;Ruta Pcial Nº: 13;Vuelco-Despistes;;;
13181;Ruta Pcial Nº: 13;Vuelco-Despistes;;;
13192;RUTA PCIAL Nº 21;Otro;-33;-60;
13193;SAAVEDRA;Colisión vehículo-objeto;-33;-60;
13194;RUTA PCIAL Nº 90;Colisión vehículo-vehículo;-33;-60;
13194;RUTA PCIAL Nº 90;Colisión vehículo-vehículo;-33;-60;
13195;Ruta Nacional;Colisión vehículo-vehículo;;;
13195;Ruta Nacional;Colisión vehículo-vehículo;;;
13196;Ruta Pcial N° 70;Colisión vehículo-vehículo;;;
13196;Ruta Pcial N° 70;Colisión vehículo-vehículo;;;
13197;CASEROS;Colisión vehículo-vehículo;-30;-61;
13197;CASEROS;Colisión vehículo-vehículo;-30;-61;
13197;CASEROS;Colisión vehículo-vehículo;-30;-61;
13198;RUTA NACIONAL 11;Vuelco-Despistes;-32;-61;
13198;RUTA NACIONAL 11;Vuelco-Despistes;-32;-61;
13199;AV. ROQUE SAENZ PEÑA;Colisión vehículo-vehículo;-32;-61;
13199;AV. ROQUE SAENZ PEÑA;Colisión vehículo-vehículo;-32;-61;
13200;RUTA NAC 11;Colisión vehículo-vehículo;-30;-60;
13200;RUTA NAC 11;Colisión vehículo-vehículo;-30;-60;
13200;RUTA NAC 11;Colisión vehículo-vehículo;-30;-60;
13200;RUTA NAC 11;Colisión vehículo-vehículo;-30;-60;
13201;RUTA 11;Colisión vehículo-vehículo;-33;-61;
13201;RUTA 11;Colisión vehículo-vehículo;-33;-61;
13202;BERMEJO;Colisión vehículo-vehículo;-33;-61;
13202;BERMEJO;Colisión vehículo-vehículo;-33;-61;
13203;Ruta Nac nro 34;Colisión vehículo-vehículo;;;
13203;Ruta Nac nro 34;Colisión vehículo-vehículo;;;
13204;RUTA NAC. Nº 98;Colisión vehículo-vehículo;;;
13204;RUTA NAC. Nº 98;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13205;Ruta N ° 33;Colisión vehículo-vehículo;;;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13206;Ruta Nac. 178;Colisión vehículo-vehículo;-33;-62;
13207;F del Signore;Colisión vehículo-vehículo;-31;-61;
13207;F del Signore;Colisión vehículo-vehículo;-31;-61;
13208;9 de Julio;Colisión vehículo-vehículo;-32;-62;
13208;9 de Julio;Colisión vehículo-vehículo;-32;-62;
13209;Av Palacios;Colisión vehículo-vehículo;-32;-62;
13209;Av Palacios;Colisión vehículo-vehículo;-32;-62;
13223;La Pampa;Colisión vehículo-objeto;;;
13223;La Pampa;Colisión vehículo-objeto;;;
13224;Almirante Brown;Colisión vehículo-vehículo;-32;-61;
13224;Almirante Brown;Colisión vehículo-vehículo;-32;-61;
13225;CALLE 5;Colisión vehículo-persona;;;
13225;CALLE 5;Colisión vehículo-persona;;;
13226;Ruta Nacional N° 33;Vuelco-Despistes;;;
13226;Ruta Nacional N° 33;Vuelco-Despistes;;;
13227;Chapuis;Colisión vehículo-vehículo;-34;-62;
13227;Chapuis;Colisión vehículo-vehículo;-34;-62;
13228;Camino Rural;Vuelco-Despistes;;;
13228;Camino Rural;Vuelco-Despistes;;;
13229;Colonia Rivadavia camino rural;Colisión vehículo-vehículo;-31;-61;
13229;Colonia Rivadavia camino rural;Colisión vehículo-vehículo;-31;-61;
13230;Rouillón;Colisión vehículo-objeto;-33;-61;
13230;Rouillón;Colisión vehículo-objeto;-33;-61;
13231;Ruta N ° 33;Colisión vehículo-persona;;;
13231;Ruta N ° 33;Colisión vehículo-persona;;;
13232;Boulevard Avellaneda;Colisión vehículo-vehículo;-33;-61;
13232;Boulevard Avellaneda;Colisión vehículo-vehículo;-33;-61;
13233;Maiztegui;Colisión vehículo-vehículo;-33;-61;
13233;Maiztegui;Colisión vehículo-vehículo;-33;-61;
13234;Avenida Pellegrini;Colisión vehículo-persona;-33;-61;
13234;Avenida Pellegrini;Colisión vehículo-persona;-33;-61;
13235;Av. San Martín;Colisión vehículo-persona;-33;-61;
13235;Av. San Martín;Colisión vehículo-persona;-33;-61;
13236;Ruta N ° 21;Colisión vehículo-vehículo;-33;-61;
13236;Ruta N ° 21;Colisión vehículo-vehículo;-33;-61;
13237;Ruta N ° 16;Colisión vehículo-vehículo;;;
13237;Ruta N ° 16;Colisión vehículo-vehículo;;;
13238;Centeno;Colisión vehículo-vehículo;-33;-61;
13238;Centeno;Colisión vehículo-vehículo;-33;-61;
13239;Ruta N ° 21;Colisión vehículo-vehículo;;;
13239;Ruta N ° 21;Colisión vehículo-vehículo;;;
13240;Sorrento;Colisión vehículo-vehículo;-33;-61;
13240;Sorrento;Colisión vehículo-vehículo;-33;-61;
13241;Ruta Pcial 13;Colisión vehículo-vehículo;-31;-61;
13241;Ruta Pcial 13;Colisión vehículo-vehículo;-31;-61;
13242;Ruta Pcial 70;Colisión vehículo-persona;-31;-62;
13242;Ruta Pcial 70;Colisión vehículo-persona;-31;-62;
13243;Bv Roca;Vuelco-Despistes;-31;-62;
13243;Bv Roca;Vuelco-Despistes;-31;-62;
13244;RUTA PROVINCIAL 21;Colisión vehículo-vehículo;-33;-60;
13244;RUTA PROVINCIAL 21;Colisión vehículo-vehículo;-33;-60;
13245;RUTA NACIONAL Nº9;Sin determinar;-33;-60;
13245;RUTA NACIONAL Nº9;Sin determinar;-33;-60;
13246;RUTA PROVINCIAL 90;Colisión vehículo-vehículo;-33;-60;
13246;RUTA PROVINCIAL 90;Colisión vehículo-vehículo;-33;-60;
13247;Ruta Pcial Nº 1;Colisión vehículo-persona;;;
