Titulo;Descripcion;Categoría;latitud;longitud;fecha del hecho;;;;;
100;Colisión vehículo-vehículo;Accidente automovilistico;-39;-68;14/6/2017;;;;;
101;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;18/4/2017;;;;;
102;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;18/4/2017;;;;;
103;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;21/6/2017;;;;;
104;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;21/6/2017;;;;;
105;Colisión vehículo-vehículo;Accidente automovilistico;-43;-65;21/6/2017;;;;;
106;Colisión vehículo-persona;Accidente automovilistico;-25;-65;9/3/2017;;;;;
107;Colisión vehículo-persona;Accidente automovilistico;-25;-65;9/3/2017;;;;;
108;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;11/3/2017;;;;;
109;Colisión vehículo-vehículo;Accidente automovilistico;-23;-64;11/3/2017;;;;;
110;Otro;Accidente automovilistico;-25;-66;11/3/2017;;;;;
111;Otro;Accidente automovilistico;-25;-66;11/3/2017;;;;;
112;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;15/3/2017;;;;;
113;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;15/3/2017;;;;;
114;Colisión vehículo-objeto;Accidente automovilistico;-25;-64;24/3/2017;;;;;
115;Colisión vehículo-objeto;Accidente automovilistico;-25;-64;24/3/2017;;;;;
116;Colisión vehículo-objeto;Accidente automovilistico;-32;-69;26/7/2017;;;;;
117;Colisión vehículo-objeto;Accidente automovilistico;-32;-69;26/7/2017;;;;;
118;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;22/3/2017;;;;;
119;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;22/3/2017;;;;;
120;Colisión vehículo-persona;Accidente automovilistico;-22;-64;6/3/2017;;;;;
121;Colisión vehículo-persona;Accidente automovilistico;-22;-64;6/3/2017;;;;;
122;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;8/4/2017;;;;;
123;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;8/4/2017;;;;;
124;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;10/4/2017;;;;;
125;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;10/4/2017;;;;;
126;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;12/4/2017;;;;;
127;Colisión vehículo-vehículo;Accidente automovilistico;-26;-65;12/4/2017;;;;;
128;Otro;Accidente automovilistico;-22;-64;13/4/2017;;;;;
129;Otro;Accidente automovilistico;-22;-64;13/4/2017;;;;;
130;Colisión vehículo-persona;Accidente automovilistico;-23;-64;28/4/2017;;;;;
131;Colisión vehículo-persona;Accidente automovilistico;-23;-64;28/4/2017;;;;;
132;Vuelco-Despistes;Accidente automovilistico;-24;-63;28/4/2017;;;;;
133;Vuelco-Despistes;Accidente automovilistico;-24;-63;28/4/2017;;;;;
134;Vuelco-Despistes;Accidente automovilistico;-24;-63;28/4/2017;;;;;
135;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;29/4/2017;;;;;
136;Colisión vehículo-vehículo;Accidente automovilistico;-25;-65;29/4/2017;;;;;
137;Colisión vehículo-objeto;Accidente automovilistico;-25;-66;30/4/2017;;;;;
138;Colisión vehículo-objeto;Accidente automovilistico;-25;-66;30/4/2017;;;;;
139;Vuelco-Despistes;Accidente automovilistico;-26;-66;30/4/2017;;;;;
140;Vuelco-Despistes;Accidente automovilistico;-26;-66;30/4/2017;;;;;
